Id,Name,"Generation Id","Is Main Series"
1,Stench,3,1
2,Drizzle,3,1
3,"Speed Boost",3,1
4,"Battle Armor",3,1
5,Sturdy,3,1
6,Damp,3,1
7,Limber,3,1
8,"Sand Veil",3,1
9,Static,3,1
10,"Volt Absorb",3,1
11,"Water Absorb",3,1
12,Oblivious,3,1
13,"Cloud Nine",3,1
14,"Compound Eyes",3,1
15,Insomnia,3,1
16,"Color Change",3,1
17,Immunity,3,1
18,"Flash Fire",3,1
19,"Shield Dust",3,1
20,"Own Tempo",3,1
21,"Suction Cups",3,1
22,Intimidate,3,1
23,"Shadow Tag",3,1
24,"Rough Skin",3,1
25,"Wonder Guard",3,1
26,Levitate,3,1
27,"Effect Spore",3,1
28,Synchronize,3,1
29,"Clear Body",3,1
30,"Natural Cure",3,1
31,"Lightning Rod",3,1
32,"Serene Grace",3,1
33,"Swift Swim",3,1
34,Chlorophyll,3,1
35,Illuminate,3,1
36,Trace,3,1
37,"Huge Power",3,1
38,"Poison Point",3,1
39,"Inner Focus",3,1
40,"Magma Armor",3,1
41,"Water Veil",3,1
42,"Magnet Pull",3,1
43,Soundproof,3,1
44,"Rain Dish",3,1
45,"Sand Stream",3,1
46,Pressure,3,1
47,"Thick Fat",3,1
48,"Early Bird",3,1
49,"Flame Body",3,1
50,"Run Away",3,1
51,"Keen Eye",3,1
52,"Hyper Cutter",3,1
53,Pickup,3,1
54,Truant,3,1
55,Hustle,3,1
56,"Cute Charm",3,1
57,Plus,3,1
58,Minus,3,1
59,Forecast,3,1
60,"Sticky Hold",3,1
61,"Shed Skin",3,1
62,Guts,3,1
63,"Marvel Scale",3,1
64,"Liquid Ooze",3,1
65,Overgrow,3,1
66,Blaze,3,1
67,Torrent,3,1
68,Swarm,3,1
69,"Rock Head",3,1
70,Drought,3,1
71,"Arena Trap",3,1
72,"Vital Spirit",3,1
73,"White Smoke",3,1
74,"Pure Power",3,1
75,"Shell Armor",3,1
76,"Air Lock",3,1
77,"Tangled Feet",4,1
78,"Motor Drive",4,1
79,Rivalry,4,1
80,Steadfast,4,1
81,"Snow Cloak",4,1
82,Gluttony,4,1
83,"Anger Point",4,1
84,Unburden,4,1
85,Heatproof,4,1
86,Simple,4,1
87,"Dry Skin",4,1
88,Download,4,1
89,"Iron Fist",4,1
90,"Poison Heal",4,1
91,Adaptability,4,1
92,"Skill Link",4,1
93,Hydration,4,1
94,"Solar Power",4,1
95,"Quick Feet",4,1
96,Normalize,4,1
97,Sniper,4,1
98,"Magic Guard",4,1
99,"No Guard",4,1
100,Stall,4,1
101,Technician,4,1
102,"Leaf Guard",4,1
103,Klutz,4,1
104,"Mold Breaker",4,1
105,"Super Luck",4,1
106,Aftermath,4,1
107,Anticipation,4,1
108,Forewarn,4,1
109,Unaware,4,1
110,"Tinted Lens",4,1
111,Filter,4,1
112,"Slow Start",4,1
113,Scrappy,4,1
114,"Storm Drain",4,1
115,"Ice Body",4,1
116,"Solid Rock",4,1
117,"Snow Warning",4,1
118,"Honey Gather",4,1
119,Frisk,4,1
120,Reckless,4,1
121,Multitype,4,1
122,"Flower Gift",4,1
123,"Bad Dreams",4,1
124,Pickpocket,5,1
125,"Sheer Force",5,1
126,Contrary,5,1
127,Unnerve,5,1
128,Defiant,5,1
129,Defeatist,5,1
130,"Cursed Body",5,1
131,Healer,5,1
132,"Friend Guard",5,1
133,"Weak Armor",5,1
134,"Heavy Metal",5,1
135,"Light Metal",5,1
136,Multiscale,5,1
137,"Toxic Boost",5,1
138,"Flare Boost",5,1
139,Harvest,5,1
140,Telepathy,5,1
141,Moody,5,1
142,Overcoat,5,1
143,"Poison Touch",5,1
144,Regenerator,5,1
145,"Big Pecks",5,1
146,"Sand Rush",5,1
147,"Wonder Skin",5,1
148,Analytic,5,1
149,Illusion,5,1
150,Imposter,5,1
151,Infiltrator,5,1
152,Mummy,5,1
153,Moxie,5,1
154,Justified,5,1
155,Rattled,5,1
156,"Magic Bounce",5,1
157,"Sap Sipper",5,1
158,Prankster,5,1
159,"Sand Force",5,1
160,"Iron Barbs",5,1
161,"Zen Mode",5,1
162,"Victory Star",5,1
163,Turboblaze,5,1
164,Teravolt,5,1
165,"Aroma Veil",6,1
166,"Flower Veil",6,1
167,"Cheek Pouch",6,1
168,Protean,6,1
169,"Fur Coat",6,1
170,Magician,6,1
171,Bulletproof,6,1
172,Competitive,6,1
173,"Strong Jaw",6,1
174,Refrigerate,6,1
175,"Sweet Veil",6,1
176,"Stance Change",6,1
177,"Gale Wings",6,1
178,"Mega Launcher",6,1
179,"Grass Pelt",6,1
180,Symbiosis,6,1
181,"Tough Claws",6,1
182,Pixilate,6,1
183,Gooey,6,1
184,Aerilate,6,1
185,"Parental Bond",6,1
186,"Dark Aura",6,1
187,"Fairy Aura",6,1
188,"Aura Break",6,1
189,"Primordial Sea",6,1
190,"Desolate Land",6,1
191,"Delta Stream",6,1
192,Stamina,7,1
193,"Wimp Out",7,1
194,"Emergency Exit",7,1
195,"Water Compaction",7,1
196,Merciless,7,1
197,"Shields Down",7,1
198,Stakeout,7,1
199,"Water Bubble",7,1
200,Steelworker,7,1
201,Berserk,7,1
202,"Slush Rush",7,1
203,"Long Reach",7,1
204,"Liquid Voice",7,1
205,Triage,7,1
206,Galvanize,7,1
207,"Surge Surfer",7,1
208,Schooling,7,1
209,Disguise,7,1
210,"Battle Bond",7,1
211,"Power Construct",7,1
212,Corrosion,7,1
213,Comatose,7,1
214,"Queenly Majesty",7,1
215,"Innards Out",7,1
216,Dancer,7,1
217,Battery,7,1
218,Fluffy,7,1
219,Dazzling,7,1
220,"Soul Heart",7,1
221,"Tangling Hair",7,1
222,Receiver,7,1
223,"Power Of Alchemy",7,1
224,"Beast Boost",7,1
225,"Rks System",7,1
226,"Electric Surge",7,1
227,"Psychic Surge",7,1
228,"Misty Surge",7,1
229,"Grassy Surge",7,1
230,"Full Metal Body",7,1
231,"Shadow Shield",7,1
232,"Prism Armor",7,1
233,Neuroforce,7,1
234,"Intrepid Sword",8,1
235,"Dauntless Shield",8,1
236,Libero,8,1
237,"Ball Fetch",8,1
238,"Cotton Down",8,1
239,"Propeller Tail",8,1
240,"Mirror Armor",8,1
241,"Gulp Missile",8,1
242,Stalwart,8,1
243,"Steam Engine",8,1
244,"Punk Rock",8,1
245,"Sand Spit",8,1
246,"Ice Scales",8,1
247,Ripen,8,1
248,"Ice Face",8,1
249,"Power Spot",8,1
250,Mimicry,8,1
251,"Screen Cleaner",8,1
252,"Steely Spirit",8,1
253,"Perish Body",8,1
254,"Wandering Spirit",8,1
255,"Gorilla Tactics",8,1
256,"Neutralizing Gas",8,1
257,"Pastel Veil",8,1
258,"Hunger Switch",8,1
259,"Quick Draw",8,1
260,"Unseen Fist",8,1
261,"Curious Medicine",8,1
262,Transistor,8,1
263,"Dragons Maw",8,1
264,"Chilling Neigh",8,1
265,"Grim Neigh",8,1
266,"As One Glastrier",8,1
