Id,"Region Id",Name
1,4,"Canalave City"
2,4,"Eterna City"
3,4,"Pastoria City"
4,4,"Sunyshore City"
5,4,"Sinnoh Pokemon League"
6,4,"Oreburgh Mine"
7,4,"Valley Windworks"
8,4,"Eterna Forest"
9,4,"Fuego Ironworks"
10,4,"Mt Coronet"
11,4,"Great Marsh"
12,4,"Solaceon Ruins"
13,4,"Sinnoh Victory Road"
14,4,"Ravaged Path"
15,4,"Oreburgh Gate"
16,4,"Stark Mountain"
17,4,"Spring Path"
18,4,"Turnback Cave"
19,4,"Snowpoint Temple"
20,4,"Wayward Cave"
22,4,"Ruin Maniac Cave"
23,4,"Trophy Garden"
24,4,"Iron Island"
25,4,"Old Chateau"
26,4,"Lake Verity"
27,4,"Lake Valor"
28,4,"Lake Acuity"
29,4,"Valor Lakefront"
30,4,"Acuity Lakefront"
31,4,"Sinnoh Route 201"
32,4,"Sinnoh Route 202"
33,4,"Sinnoh Route 203"
34,4,"Sinnoh Route 204"
35,4,"Sinnoh Route 205"
36,4,"Sinnoh Route 206"
37,4,"Sinnoh Route 207"
38,4,"Sinnoh Route 208"
39,4,"Sinnoh Route 209"
40,4,"Lost Tower"
41,4,"Sinnoh Route 210"
42,4,"Sinnoh Route 211"
43,4,"Sinnoh Route 212"
44,4,"Sinnoh Route 213"
45,4,"Sinnoh Route 214"
46,4,"Sinnoh Route 215"
47,4,"Sinnoh Route 216"
48,4,"Sinnoh Route 217"
49,4,"Sinnoh Route 218"
50,4,"Sinnoh Route 219"
51,4,"Sinnoh Route 221"
52,4,"Sinnoh Route 222"
53,4,"Sinnoh Route 224"
54,4,"Sinnoh Route 225"
55,4,"Sinnoh Route 227"
56,4,"Sinnoh Route 228"
57,4,"Sinnoh Route 229"
58,4,"Twinleaf Town"
59,4,"Celestic Town"
60,4,"Resort Area"
61,4,"Sinnoh Sea Route 220"
62,4,"Sinnoh Sea Route 223"
63,4,"Sinnoh Sea Route 226"
64,4,"Sinnoh Sea Route 230"
65,2,"Blackthorn City"
66,2,"Burned Tower"
67,1,"Celadon City"
68,1,"Cerulean City"
69,2,"Cherrygrove City"
70,2,"Cianwood City"
71,1,"Cinnabar Island"
72,2,"Dark Cave"
73,1,"Digletts Cave"
74,2,"Dragons Den"
75,2,"Ecruteak City"
76,1,"Fuchsia City"
77,2,"Ice Path"
78,2,"Ilex Forest"
79,2,"Lake Of Rage"
80,1,"Mt Moon"
81,2,"Mt Mortar"
82,2,"Mt Silver"
83,2,"National Park"
84,2,"New Bark Town"
85,2,"Olivine City"
86,1,"Pallet Town"
87,1,"Rock Tunnel"
88,1,"Kanto Route 1"
89,1,"Kanto Route 10"
90,1,"Kanto Route 11"
91,1,"Kanto Route 12"
92,1,"Kanto Route 13"
93,1,"Kanto Route 14"
94,1,"Kanto Route 15"
95,1,"Kanto Route 16"
96,1,"Kanto Route 17"
97,1,"Kanto Route 18"
98,1,"Kanto Sea Route 19"
99,1,"Kanto Route 2"
100,1,"Kanto Sea Route 20"
101,1,"Kanto Sea Route 21"
102,1,"Kanto Route 22"
103,1,"Kanto Route 24"
104,1,"Kanto Route 25"
105,1,"Kanto Route 26"
106,1,"Kanto Route 27"
107,1,"Kanto Route 28"
108,2,"Johto Route 29"
109,1,"Kanto Route 3"
110,2,"Johto Route 30"
111,2,"Johto Route 31"
112,2,"Johto Route 32"
113,2,"Johto Route 33"
114,2,"Johto Route 34"
115,2,"Johto Route 35"
116,2,"Johto Route 36"
117,2,"Johto Route 37"
118,2,"Johto Route 38"
119,2,"Johto Route 39"
120,1,"Kanto Route 4"
121,2,"Johto Sea Route 40"
122,2,"Johto Sea Route 41"
123,2,"Johto Route 42"
124,2,"Johto Route 43"
125,2,"Johto Route 44"
126,2,"Johto Route 45"
127,2,"Johto Route 46"
128,2,"Johto Route 47"
129,2,"Johto Route 48"
130,1,"Kanto Route 5"
131,1,"Kanto Route 6"
132,1,"Kanto Route 7"
133,1,"Kanto Route 8"
134,1,"Kanto Route 9"
135,2,"Ruins Of Alph"
136,1,"Seafoam Islands"
137,2,"Slowpoke Well"
138,2,"Sprout Tower"
139,2,"Bell Tower"
140,2,"Tohjo Falls"
