Id,Name,"Species Id",Height,Weight,"Base Experience",Order,"Is Default"
1,Bulbasaur,1,7,69,64,1,1
2,Ivysaur,2,10,130,142,2,1
3,Venusaur,3,20,1000,263,3,1
4,Charmander,4,6,85,62,5,1
5,Charmeleon,5,11,190,142,6,1
6,Charizard,6,17,905,267,7,1
7,Squirtle,7,5,90,63,10,1
8,Wartortle,8,10,225,142,11,1
9,Blastoise,9,16,855,265,12,1
10,Caterpie,10,3,29,39,14,1
11,Metapod,11,7,99,72,15,1
12,Butterfree,12,11,320,198,16,1
13,Weedle,13,3,32,39,17,1
14,Kakuna,14,6,100,72,18,1
15,Beedrill,15,10,295,178,19,1
16,Pidgey,16,3,18,50,21,1
17,Pidgeotto,17,11,300,122,22,1
18,Pidgeot,18,15,395,216,23,1
19,Rattata,19,3,35,51,25,1
20,Raticate,20,7,185,145,27,1
21,Spearow,21,3,20,52,30,1
22,Fearow,22,12,380,155,31,1
23,Ekans,23,20,69,58,32,1
24,Arbok,24,35,650,157,33,1
25,Pikachu,25,4,60,112,35,1
26,Raichu,26,8,300,243,51,1
27,Sandshrew,27,6,120,60,53,1
28,Sandslash,28,10,295,158,55,1
29,"Nidoran F",29,4,70,55,57,1
30,Nidorina,30,8,200,128,58,1
31,Nidoqueen,31,13,600,253,59,1
32,"Nidoran M",32,5,90,55,60,1
33,Nidorino,33,9,195,128,61,1
34,Nidoking,34,14,620,253,62,1
35,Clefairy,35,6,75,113,64,1
36,Clefable,36,13,400,242,65,1
37,Vulpix,37,6,99,60,66,1
38,Ninetales,38,11,199,177,68,1
39,Jigglypuff,39,5,55,95,71,1
40,Wigglytuff,40,10,120,218,72,1
41,Zubat,41,8,75,49,73,1
42,Golbat,42,16,550,159,74,1
43,Oddish,43,5,54,64,76,1
44,Gloom,44,8,86,138,77,1
45,Vileplume,45,12,186,245,78,1
46,Paras,46,3,54,57,80,1
47,Parasect,47,10,295,142,81,1
48,Venonat,48,10,300,61,82,1
49,Venomoth,49,15,125,158,83,1
50,Diglett,50,2,8,53,84,1
51,Dugtrio,51,7,333,149,86,1
52,Meowth,52,4,42,58,88,1
53,Persian,53,10,320,154,91,1
54,Psyduck,54,8,196,64,93,1
55,Golduck,55,17,766,175,94,1
56,Mankey,56,5,280,61,95,1
57,Primeape,57,10,320,159,96,1
58,Growlithe,58,7,190,70,97,1
59,Arcanine,59,19,1550,194,98,1
60,Poliwag,60,6,124,60,99,1
61,Poliwhirl,61,10,200,135,100,1
62,Poliwrath,62,13,540,255,101,1
63,Abra,63,9,195,62,103,1
64,Kadabra,64,13,565,140,104,1
65,Alakazam,65,15,480,250,105,1
66,Machop,66,8,195,61,107,1
67,Machoke,67,15,705,142,108,1
68,Machamp,68,16,1300,253,109,1
69,Bellsprout,69,7,40,60,110,1
70,Weepinbell,70,10,64,137,111,1
71,Victreebel,71,17,155,221,112,1
72,Tentacool,72,9,455,67,113,1
73,Tentacruel,73,16,550,180,114,1
74,Geodude,74,4,200,60,115,1
75,Graveler,75,10,1050,137,117,1
76,Golem,76,14,3000,223,119,1
77,Ponyta,77,10,300,82,121,1
78,Rapidash,78,17,950,175,123,1
79,Slowpoke,79,12,360,63,125,1
80,Slowbro,80,16,785,172,127,1
81,Magnemite,81,3,60,65,132,1
82,Magneton,82,10,600,163,133,1
83,Farfetchd,83,8,150,132,135,1
84,Doduo,84,14,392,62,137,1
85,Dodrio,85,18,852,165,138,1
86,Seel,86,11,900,65,139,1
87,Dewgong,87,17,1200,166,140,1
88,Grimer,88,9,300,65,141,1
89,Muk,89,12,300,175,143,1
90,Shellder,90,3,40,61,145,1
91,Cloyster,91,15,1325,184,146,1
92,Gastly,92,13,1,62,147,1
93,Haunter,93,16,1,142,148,1
94,Gengar,94,15,405,250,149,1
95,Onix,95,88,2100,77,151,1
96,Drowzee,96,10,324,66,154,1
97,Hypno,97,16,756,169,155,1
98,Krabby,98,4,65,65,156,1
99,Kingler,99,13,600,166,157,1
100,Voltorb,100,5,104,66,158,1
101,Electrode,101,12,666,172,159,1
102,Exeggcute,102,4,25,65,160,1
103,Exeggutor,103,20,1200,186,161,1
104,Cubone,104,4,65,64,163,1
105,Marowak,105,10,450,149,164,1
106,Hitmonlee,106,15,498,159,168,1
107,Hitmonchan,107,14,502,159,169,1
108,Lickitung,108,12,655,77,171,1
109,Koffing,109,6,10,68,173,1
110,Weezing,110,12,95,172,174,1
111,Rhyhorn,111,10,1150,69,176,1
112,Rhydon,112,19,1200,170,177,1
113,Chansey,113,11,346,395,180,1
114,Tangela,114,10,350,87,182,1
115,Kangaskhan,115,22,800,172,184,1
116,Horsea,116,4,80,59,186,1
117,Seadra,117,12,250,154,187,1
118,Goldeen,118,6,150,64,189,1
119,Seaking,119,13,390,158,190,1
120,Staryu,120,8,345,68,191,1
121,Starmie,121,11,800,182,192,1
122,"Mr Mime",122,13,545,161,194,1
123,Scyther,123,15,560,100,196,1
124,Jynx,124,14,406,159,200,1
125,Electabuzz,125,11,300,172,202,1
126,Magmar,126,13,445,173,205,1
127,Pinsir,127,15,550,175,207,1
128,Tauros,128,14,884,172,209,1
129,Magikarp,129,9,100,40,210,1
130,Gyarados,130,65,2350,189,211,1
131,Lapras,131,25,2200,187,213,1
132,Ditto,132,3,40,101,214,1
133,Eevee,133,3,65,65,215,1
134,Vaporeon,134,10,290,184,217,1
135,Jolteon,135,8,245,184,218,1
136,Flareon,136,9,250,184,219,1
137,Porygon,137,8,365,79,225,1
138,Omanyte,138,4,75,71,228,1
139,Omastar,139,10,350,173,229,1
140,Kabuto,140,5,115,71,230,1
141,Kabutops,141,13,405,173,231,1
142,Aerodactyl,142,18,590,180,232,1
143,Snorlax,143,21,4600,189,235,1
144,Articuno,144,17,554,290,236,1
145,Zapdos,145,16,526,290,238,1
146,Moltres,146,20,600,290,240,1
147,Dratini,147,18,33,60,242,1
148,Dragonair,148,40,165,147,243,1
149,Dragonite,149,22,2100,300,244,1
150,Mewtwo,150,20,1220,340,245,1
151,Mew,151,4,40,300,248,1
152,Chikorita,152,9,64,64,249,1
153,Bayleef,153,12,158,142,250,1
154,Meganium,154,18,1005,236,251,1
155,Cyndaquil,155,5,79,62,252,1
156,Quilava,156,9,190,142,253,1
157,Typhlosion,157,17,795,240,254,1
158,Totodile,158,6,95,63,255,1
159,Croconaw,159,11,250,142,256,1
160,Feraligatr,160,23,888,239,257,1
161,Sentret,161,8,60,43,258,1
162,Furret,162,18,325,145,259,1
163,Hoothoot,163,7,212,52,260,1
164,Noctowl,164,16,408,158,261,1
165,Ledyba,165,10,108,53,262,1
166,Ledian,166,14,356,137,263,1
167,Spinarak,167,5,85,50,264,1
168,Ariados,168,11,335,140,265,1
169,Crobat,169,18,750,268,75,1
170,Chinchou,170,5,120,66,266,1
171,Lanturn,171,12,225,161,267,1
172,Pichu,172,3,20,41,34,1
173,Cleffa,173,3,30,44,63,1
174,Igglybuff,174,3,10,42,70,1
175,Togepi,175,3,15,49,268,1
176,Togetic,176,6,32,142,269,1
177,Natu,177,2,20,64,271,1
178,Xatu,178,15,150,165,272,1
179,Mareep,179,6,78,56,273,1
180,Flaaffy,180,8,133,128,274,1
181,Ampharos,181,14,615,230,275,1
182,Bellossom,182,4,58,245,79,1
183,Marill,183,4,85,88,278,1
184,Azumarill,184,8,285,210,279,1
185,Sudowoodo,185,12,380,144,281,1
186,Politoed,186,11,339,250,102,1
187,Hoppip,187,4,5,50,282,1
188,Skiploom,188,6,10,119,283,1
189,Jumpluff,189,8,30,207,284,1
190,Aipom,190,8,115,72,285,1
191,Sunkern,191,3,18,36,287,1
192,Sunflora,192,8,85,149,288,1
193,Yanma,193,12,380,78,289,1
194,Wooper,194,4,85,42,291,1
195,Quagsire,195,14,750,151,292,1
196,Espeon,196,9,265,184,220,1
197,Umbreon,197,10,270,184,221,1
198,Murkrow,198,5,21,81,293,1
199,Slowking,199,20,795,172,130,1
200,Misdreavus,200,7,10,87,295,1
201,Unown,201,5,50,118,297,1
202,Wobbuffet,202,13,285,142,299,1
203,Girafarig,203,15,415,159,300,1
204,Pineco,204,6,72,58,301,1
205,Forretress,205,12,1258,163,302,1
206,Dunsparce,206,15,140,145,303,1
207,Gligar,207,11,648,86,304,1
208,Steelix,208,92,4000,179,152,1
209,Snubbull,209,6,78,60,306,1
210,Granbull,210,14,487,158,307,1
211,Qwilfish,211,5,39,88,308,1
212,Scizor,212,18,1180,175,197,1
213,Shuckle,213,6,205,177,309,1
214,Heracross,214,15,540,175,310,1
215,Sneasel,215,9,280,86,312,1
216,Teddiursa,216,6,88,66,314,1
217,Ursaring,217,18,1258,175,315,1
218,Slugma,218,7,350,50,316,1
219,Magcargo,219,8,550,151,317,1
220,Swinub,220,4,65,50,318,1
221,Piloswine,221,11,558,158,319,1
222,Corsola,222,6,50,144,321,1
223,Remoraid,223,6,120,60,323,1
224,Octillery,224,9,285,168,324,1
225,Delibird,225,9,160,116,325,1
226,Mantine,226,21,2200,170,327,1
227,Skarmory,227,17,505,163,328,1
228,Houndour,228,6,108,66,329,1
229,Houndoom,229,14,350,175,330,1
230,Kingdra,230,18,1520,270,188,1
231,Phanpy,231,5,335,66,332,1
232,Donphan,232,11,1200,175,333,1
233,Porygon2,233,6,325,180,226,1
234,Stantler,234,14,712,163,334,1
235,Smeargle,235,12,580,88,335,1
236,Tyrogue,236,7,210,42,167,1
237,Hitmontop,237,14,480,159,170,1
238,Smoochum,238,4,60,61,199,1
239,Elekid,239,6,235,72,201,1
240,Magby,240,7,214,73,204,1
241,Miltank,241,12,755,172,336,1
242,Blissey,242,15,468,635,181,1
243,Raikou,243,19,1780,290,337,1
244,Entei,244,21,1980,290,338,1
245,Suicune,245,20,1870,290,339,1
246,Larvitar,246,6,720,60,340,1
247,Pupitar,247,12,1520,144,341,1
248,Tyranitar,248,20,2020,300,342,1
249,Lugia,249,52,2160,340,344,1
250,"Ho Oh",250,38,1990,340,345,1
251,Celebi,251,6,50,300,346,1
252,Treecko,252,5,50,62,347,1
253,Grovyle,253,9,216,142,348,1
254,Sceptile,254,17,522,265,349,1
255,Torchic,255,4,25,62,351,1
256,Combusken,256,9,195,142,352,1
257,Blaziken,257,19,520,265,353,1
258,Mudkip,258,4,76,62,355,1
259,Marshtomp,259,7,280,142,356,1
260,Swampert,260,15,819,268,357,1
261,Poochyena,261,5,136,56,359,1
262,Mightyena,262,10,370,147,360,1
263,Zigzagoon,263,4,175,56,361,1
264,Linoone,264,5,325,147,363,1
265,Wurmple,265,3,36,56,365,1
266,Silcoon,266,6,100,72,366,1
267,Beautifly,267,10,284,178,367,1
268,Cascoon,268,7,115,72,368,1
269,Dustox,269,12,316,173,369,1
270,Lotad,270,5,26,44,370,1
271,Lombre,271,12,325,119,371,1
272,Ludicolo,272,15,550,240,372,1
273,Seedot,273,5,40,44,373,1
274,Nuzleaf,274,10,280,119,374,1
275,Shiftry,275,13,596,240,375,1
276,Taillow,276,3,23,54,376,1
277,Swellow,277,7,198,159,377,1
278,Wingull,278,6,95,54,378,1
279,Pelipper,279,12,280,154,379,1
280,Ralts,280,4,66,40,380,1
281,Kirlia,281,8,202,97,381,1
282,Gardevoir,282,16,484,259,382,1
283,Surskit,283,5,17,54,386,1
284,Masquerain,284,8,36,159,387,1
285,Shroomish,285,4,45,59,388,1
286,Breloom,286,12,392,161,389,1
287,Slakoth,287,8,240,56,390,1
288,Vigoroth,288,14,465,154,391,1
289,Slaking,289,20,1305,252,392,1
290,Nincada,290,5,55,53,393,1
291,Ninjask,291,8,120,160,394,1
