Id,Name,"Generation Id","Evolves From Species ID","Evolution Chain ID","Color ID","Shape ID","Habitat ID","Gender Rate","Capture Rate","Base Happiness","Is Baby","Hatch Counter","Has Gender Differences","Growth Rate ID","Forms Switchable","Is Legendary","Is Mythical",Order
1,Bulbasaur,1,,1,5,8,3,1,45,50,0,20,0,4,0,0,0,1
2,Ivysaur,1,1,1,5,8,3,1,45,50,0,20,0,4,0,0,0,2
3,Venusaur,1,2,1,5,8,3,1,45,50,0,20,1,4,1,0,0,3
4,Charmander,1,,2,8,6,4,1,45,50,0,20,0,4,0,0,0,4
5,Charmeleon,1,4,2,8,6,4,1,45,50,0,20,0,4,0,0,0,5
6,Charizard,1,5,2,8,6,4,1,45,50,0,20,0,4,1,0,0,6
7,Squirtle,1,,3,2,6,9,1,45,50,0,20,0,4,0,0,0,7
8,Wartortle,1,7,3,2,6,9,1,45,50,0,20,0,4,0,0,0,8
9,Blastoise,1,8,3,2,6,9,1,45,50,0,20,0,4,1,0,0,9
10,Caterpie,1,,4,5,14,2,4,255,50,0,15,0,2,0,0,0,10
11,Metapod,1,10,4,5,2,2,4,120,50,0,15,0,2,0,0,0,11
12,Butterfree,1,11,4,9,13,2,4,45,50,0,15,1,2,0,0,0,12
13,Weedle,1,,5,3,14,2,4,255,70,0,15,0,2,0,0,0,13
14,Kakuna,1,13,5,10,2,2,4,120,70,0,15,0,2,0,0,0,14
15,Beedrill,1,14,5,10,13,2,4,45,70,0,15,0,2,1,0,0,15
16,Pidgey,1,,6,3,9,2,4,255,70,0,15,0,4,0,0,0,16
17,Pidgeotto,1,16,6,3,9,2,4,120,70,0,15,0,4,0,0,0,17
18,Pidgeot,1,17,6,3,9,2,4,45,70,0,15,0,4,1,0,0,18
19,Rattata,1,,7,7,8,3,4,255,70,0,15,1,2,0,0,0,19
20,Raticate,1,19,7,3,8,3,4,127,70,0,15,1,2,0,0,0,20
21,Spearow,1,,8,3,9,6,4,255,70,0,15,0,2,0,0,0,21
22,Fearow,1,21,8,3,9,6,4,90,70,0,15,0,2,0,0,0,22
23,Ekans,1,,9,7,2,3,4,255,70,0,20,0,2,0,0,0,23
24,Arbok,1,23,9,7,2,3,4,90,70,0,20,0,2,0,0,0,24
25,Pikachu,1,172,10,10,8,2,4,190,50,0,10,1,2,0,0,0,26
26,Raichu,1,25,10,10,6,2,4,75,50,0,10,1,2,0,0,0,27
27,Sandshrew,1,,11,10,6,6,4,255,50,0,20,0,2,0,0,0,28
28,Sandslash,1,27,11,10,6,6,4,90,50,0,20,0,2,0,0,0,29
29,"Nidoran F",1,,12,2,8,3,8,235,50,0,20,0,4,0,0,0,30
30,Nidorina,1,29,12,2,8,3,8,120,50,0,20,0,4,0,0,0,31
31,Nidoqueen,1,30,12,2,6,3,8,45,50,0,20,0,4,0,0,0,32
32,"Nidoran M",1,,13,7,8,3,0,235,50,0,20,0,4,0,0,0,33
33,Nidorino,1,32,13,7,8,3,0,120,50,0,20,0,4,0,0,0,34
34,Nidoking,1,33,13,7,6,3,0,45,50,0,20,0,4,0,0,0,35
35,Clefairy,1,173,14,6,6,4,6,150,140,0,10,0,3,0,0,0,37
36,Clefable,1,35,14,6,6,4,6,25,140,0,10,0,3,0,0,0,38
37,Vulpix,1,,15,3,8,3,6,190,50,0,20,0,2,0,0,0,39
38,Ninetales,1,37,15,10,8,3,6,75,50,0,20,0,2,0,0,0,40
39,Jigglypuff,1,174,16,6,12,3,6,170,50,0,10,0,3,0,0,0,42
40,Wigglytuff,1,39,16,6,12,3,6,50,50,0,10,0,3,0,0,0,43
41,Zubat,1,,17,7,9,1,4,255,50,0,15,1,2,0,0,0,44
42,Golbat,1,41,17,7,9,1,4,90,50,0,15,1,2,0,0,0,45
43,Oddish,1,,18,2,7,3,4,255,50,0,20,0,4,0,0,0,47
44,Gloom,1,43,18,2,12,3,4,120,50,0,20,1,4,0,0,0,48
